OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
102,21-473,Muskrat Lake,Delta,,LMN,1,-86.68649000000,46.15610000000,446832.83037000000,622922.92786000000,,,
103,21-479,Dana Lake,Delta,,LMN,1,-86.62621000000,46.11276000000,451449.27478000000,618070.12559000000,,,
104,21-481,Plumbob Lake,Delta,,LMN,1,-86.63538000000,46.10138000000,450730.85703000000,616810.33492000000,,,
105,21-486,Pine Lake,Delta,,LMN,1,-86.76927000000,46.14832000000,440433.10625000000,622117.02245000000,,,
106,21-487,Pole Creek Lake,Delta,,LMN,1,-86.77593000000,46.14471000000,439914.44483000000,621720.80538000000,,,
107,21-488,Side Lake,Delta,,LMN,1,-86.77732000000,46.15193000000,439814.99182000000,622524.24941000000,,,
108,75-552,Side Lake,Schoolcraft,,LMN,1,-86.49593000000,46.16554000000,461552.57561000000,623863.52952000000,,,
109,21-490,Little Pole Lake,Delta,,LMN,1,-86.84241000000,46.15752000000,434795.48512000000,623196.67507000000,,,
110,21-494,Jones Lake,Delta,,LMN,1,-86.74454000000,46.13832000000,442331.90274000000,620987.86677000000,,,
111,21-495,Upper Eighteenmile Lak,Delta,,LMN,1,-86.83121000000,46.12721000000,435625.25107000000,619819.47074000000,,,
112,21-497,Middle Eighteenmile La,Delta,,LMN,1,-86.82704000000,46.10943000000,435926.68388000000,617840.91895000000,,,
113,21-498,Lower Eighteenmile Lak,Delta,,LMN,1,-86.82232000000,46.09693000000,436277.27044000000,616448.35066000000,,,
114,21-505,Poplar Lake,Delta,,LMN,1,-86.79288000000,46.08193000000,438536.54842000000,614758.76534000000,,,
115,21-507,Peacock Lake,Delta,,LMN,1,-86.79871000000,46.07804000000,438081.25026000000,614331.29014000000,,,
116,21-51,Buck Fever Lake,Delta,,LMN,1,-86.50788000000,45.75665000000,460342.24605000000,578440.11231000000,,,
117,21-521,Mud Lake,Delta,,LMN,1,-86.93899000000,46.10415000000,427269.17075000000,617350.38626000000,,,
118,21-527,Merles Lake,Delta,,LMN,1,-86.91506000000,46.08034000000,429088.16781000000,614683.59515000000,,,
119,21-529,Spring Lake,Delta,,LMN,1,-86.90315000000,46.07499000000,430001.75242000000,614077.87084000000,,,
120,21-55,Fishery Lake,Delta,,LMN,1,-86.53926000000,45.74082000000,457889.29328000000,576696.90617000000,,,
121,2-156,Otter Lake,Alger,,LMN,1,-86.72871000000,46.31165000000,443730.60794000000,640235.17622000000,,,
122,21-56,Charboneau Lake,Delta,,LMN,1,-86.53954000000,45.72499000000,457855.90145000000,574938.00974000000,,,
123,21-57,Bog Lake,Delta,,LMN,1,-86.53788000000,45.72971000000,457989.06013000000,575461.75066000000,,,
124,21-58,Boufford Lake,Delta,,LMN,1,-86.83538000000,45.77804000000,434897.67945000000,581030.04359000000,,,
125,2-159,Mouse Lake,Alger,,LMN,1,-86.70655000000,46.31281000000,445437.96936000000,640348.84683000000,,,
126,2-160,Kitten Lake,Alger,,LMN,1,-86.70232000000,46.30662000000,445757.21465000000,639657.45620000000,,,
127,2-161,Moth Lake,Alger,,LMN,1,-86.67750000000,46.30688000000,447669.14040000000,639669.87646000000,,,
128,21-63,"Little Sixteen, Lake",Delta,,LMN,1,-86.87315000000,45.77526000000,431957.50559000000,580752.77463000000,,,
129,21-64,"Sixteen, Lake",Delta,,LMN,1,-86.89815000000,45.77471000000,430013.25660000000,580712.52384000000,,,
130,2-165,Three Lakes,Alger,,LMN,1,-86.66371000000,46.31360000000,448736.98173000000,640407.52352000000,,,
