Water_Body_Key,Survey_Number,Collection_Date,Survey_Purpose,SP,LENGTH_IN,AGE,METHOD,Water_Body_Name,New_Key
12699,3408,6/25/02,Status & Trends,BLG,4.5,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.4,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.2,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.1,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.5,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.2,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.7,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,5.4,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.7,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.2,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,4.2,3,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.4,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.5,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.2,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.1,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.6,4,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,5.9,4,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,5.8,4,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,5.8,4,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,5.1,4,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,5.9,4,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,5.7,4,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.9,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.2,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.5,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.5,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.6,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,6.5,5,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,5.6,5,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,5.9,5,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.9,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.6,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.9,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.1,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.5,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.5,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.4,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.4,6,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.2,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.6,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,7.5,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.5,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.7,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.7,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.4,7,,Thompson Lake,78-151
